Command	Numbering	Goto	Branch	ImagePosition	ImageType	Character	Comment
Prestart	0	1		RightTogether	튤립	튤립	여긴...
Prestart	1	2		LeftTogether	민들레	민들레	?
Prestart	2	3		RightTogether	튤립	튤립	꼭 이쪽으로 가야해?
Prestart	3	4		LeftTogether	민들레	민들레	응
Prestart	4	5		LeftTogether	민들레	민들레	...
Prestart	5	6		LeftTogether	민들레	민들레	나도 알아!! 여기 오래있다간 우리 다 시들시들 해질것 같아...
Prestart	6	7		RightTogether	튤립	튤립	난 너를 믿어
Prestart	7	8		LeftTogether	민들레	민들레	응? 우리 만난지 하루밖에 안됐어
Prestart	8	9		RightTogether	튤립	튤립	그냥 넘어가주지 그래...
Prestart	9	10	select				저기, 뭐가 오는데!
Prestart	10	11		RightTogether	튤립	튤립	!!
Finish	0	1		LeftTogether	민들레	민들레	드디어!
Finish	1	3	select				나왔다!
Finish	2	3	select				밖이야!
Finish	3	4		LeftTogether	민들레	민들레	추워 죽는 줄 알았어~ !
Finish	4	5		RightTogether	튤립	튤립	으...
Finish	5	6		LeftTogether	민들레	민들레	지체 할 시간이 없어!
Finish	6	7		RightTogether	튤립	튤립	그래도 밤이 깊었어.
Finish	7	8		RightTogether	튤립	튤립	내일 이동하는게 좋을 것 같아.
Finish	8	9		LeftTogether	민들레	민들레	아..알겠어! 흐잉
