Command	Numbering	Goto	Branch	ImagePosition	ImageType	Character	Comment
Prestart	0	2		CenterAlong	민들레	민들레	이쪽이야!
Prestart	1	2		CenterAlong		System	Blind
Prestart	2	3		CenterAlong	민들레	민들레	이쪽 길목만 지나면, 이 섬에서 나갈 수 있어. 할 수 있지?
Prestart	3	4		CenterAlong	민들레	민들레	가자!
Finish	0	1		CenterAlong	민들레	민들레	거의 다 왔어!
Finish	1	2		RightTogether	튤립	???	이얏!
Finish	2	3		LeftTogether	민들레	민들레	어? 누가 있나봐! 가보자!
Finish	3	4		RightTogether	튤립	???	거기.
Finish	4	5		LeftTogether	민들레	민들레	응?
Finish	5	6		RightTogether	튤립	???	뭐야. 독장미는 아닌가본데. 나와
Finish	6	7		LeftTogether	민들레	민들레	아하하..
Finish	7	8		LeftTogether	민들레	민들레	그, 있잖아! 나는, 민들레야! 이쪽은 내 동료이자 친구!
Finish	8	9		RightTogether	튤립	튤립	... 튤립이다.
Finish	9	10	select				안녕 
Finish	10	11		LeftTogether	민들레	민들레	우리는 더럽고, 고약한 냄새가 나는 괴물같은 식물에게 마을을 빼앗겨서 엄청난 아이템을 찾으러 가고있어!
Finish	11	12		RightTogether	튤립	튤립	엄청난 아이템...? 그게 뭐지? 엑스칼리버도 아니고
Finish	12	13		LeftTogether	민들레	민들레	몰라! 엄청나니까 엄청난 아이템인거지! 한방에 그 식물을 해치울 수 있는 아이템이니까!
Finish	13	15	select				나도 잘은 몰라
Finish	14	18	select				살려주세요. 이거 납치에요!
Finish	15	16	ans	RightTogether	튤립	튤립	그렇군. 그래도 함께하는 동료가 있다니 좋겠네.
Finish	16	17	ans	LeftTogether	민들레	민들레	과연... 동료라고 다 좋은건 아니더라고.
Finish	17	21	select				뭐라고? 
Finish	18	19	ans	LeftTogether	민들레	민들레	뭐라는거야 얘가!
Finish	19	20	ans	LeftTogether	민들레	민들레	이 녀석은 내 동료야! 내가 그 냄새 속에서 구해준거야!
Finish	20	21	select				안구해줬어도 잘 갔을걸. 
Finish	21	22		RightTogether	튤립	튤립	하하. 너희는 친해보이네...
Finish	22	23		RightTogether	튤립	튤립	...나도 있었어. 동료. 그런데, 너무 많은 독장미 무리를 만나는 바람에 내가 미끼가 되었고, 그 결과 지금은 동료와 떨어졌어. 
Finish	23	24		RightTogether	튤립	튤립	나흘동안 밤낮으로 찾아다녔지만 결국 찾지 못해서...
Finish	24	25		LeftTogether	민들레	민들레	아....
Finish	25	26		RightTogether	튤립	튤립	뭐, 내 동료는 강하니까, 잘 있을거야.
Finish	26	27		RightTogether	튤립	튤립	너무 걱정하진 말라고. 동료들도 날 믿고있을거야. 고향에 돌아가면 만날 수 있을지도 모르는거잖아! 하하
Finish	27	28		LeftTogether	민들레	민들레	그렇구나, 다행이다.
Finish	28	29		RightTogether	튤립	튤립	그래서... 너희들과 동행하고 싶은데. 그래도 괜찮을까?
Finish	29	30		LeftTogether	민들레	민들레	어? 정말? 우리야 좋지!
Finish	30	31		LeftTogether	민들레	민들레	그치만..
Finish	31	33	select				엇갈리면 어떡해. 
Finish	32	33	select				아직 여기 남아있을 수도 있잖아.
Finish	33	34		LeftTogether	민들레	민들레	맞아. 조금 걱정 돼.
Finish	34	35		RightTogether	튤립	튤립	아니야. 그런거라면 진작에 만났을 거야. 괜찮아! 엇갈려도, 언젠가 반드시 만날 수 있어.
Finish	35	36		RightTogether	튤립	튤립	계속 여기에 발이 묶여있는 것 보단 나아. 내 동료들도 아마 나랑 같은 생각으로 앞으로 나아가고있겠지.
Finish	36	37		LeftTogether	민들레	민들레	너가 그렇다면야...
Finish	37	38		RightTogether	튤립	튤립	응. 나를 데려가줘.
Finish	38	39		LeftTogether	민들레	민들레	물론이지! 우린 다음 장소로 서늘한 숲으로 갈거야!
Finish	39	40		RightTogether	튤립	튤립	고마워.
Finish	40	41		LeftTogether	민들레	민들레	잘부탁해 민들레와 그의 친구씨?
Finish	41	42	select				친구씨....?
Finish	42	43		LeftTogether	민들레	민들레	하하! 친구씨래~ 하하하
Finish	43	44		LeftTogether	민들레	민들레	자, 분위기도 풀렸고, 이제 출발하자고!
Finish	44	45		LeftTogether	민들레	민들레	준비됐어 튤?
Finish	45	46		RightTogether	튤립	튤립	준비됐어 민!!
Finish	46	47		LeftTogether	민들레	민들레	예에!
Finish	47	49	select				...에, 예에...!
Finish	48	49				System	Blind
Finish	49	50		RightTogether	튤립	튤립	근데 민들레라고 했지?
Finish	50	51		LeftTogether	민들레	민들레	응? 응 맞아!
Finish	51	52		RightTogether	튤립	튤립	하얗고 풍성한 머리....
Finish	52	53		LeftTogether	민들레	민들레	왜 그래? 이 머리는 우리 종족 특징..
Finish	53	54		RightTogether	튤립	튤립	바람이 불면 민머리가 되는거야?
Finish	54	55		LeftTogether	민들레	민들레	.....?
