Command	Numbering	Goto	Branch	ImagePosition	ImageType	Character	Comment
Prestart	0	1	select				으악! 냄새!
Prestart	1	2		CenterAlong	민들레	민들레	당장이라도 시들어버릴 거 같아.....
Prestart	2	3		LeftAlong	튤립	튤립	으... 이런 곳에서도 도망쳐 나온거였어?
Prestart	3	4		RightTogether	물망초	물망초	전 기절할 것 같아요...
Prestart	4	5		CenterAlong	민들레	민들레	정신 차려! 쓰러지면 안돼!
Prestart	5	6					그 물건은?
Prestart	6	7		CenterAlong	물망초	물망초	여기! 잘 있어요!
Prestart	7	8		CenterAlong	민들레	민들레	으... 정신 꽉 붙잡고... 출ㅂ..!
Prestart	8	9		LeftAlong	물망초	물망초	(헤롱헤롱)
Prestart	9	10		RightTogether	민들레	민들레	정신 차리라니까아~!!!!!!!!!!!
Finish	0	1		CenterAlong	민들레	민들레	헉... 헉...
Finish	1	2		CenterAlong	튤립	튤립	.............
Finish	2	3		CenterAlong	물망초	물망초	(헤롱헤롱)
Finish	3	5	select				해치웠나?!
Finish	4	7	select				드디어....!
Finish	5	6	ans	CenterAlong	민들레	민들레	으아악! 누가 쟤 입 좀 막아!!
Finish	6	9	ans	CenterAlong	튤립	튤립	하하....
Finish	7	8	ans	CenterAlong	민들레	민들레	공기가! 맑아지고 있어!
Finish	8	9	ans	LeftAlong	튤립	튤립	숨통이 트이네.
Finish	9	10		CenterAlong	물망초	물망초	앗...!
Finish	10	11		CenterAlong	물망초	물망초	끝난 건가요?
Finish	11	12		LeftAlong	튤립	튤립	하하. 이제 깨어난 거야?
Finish	12	13		RightTogether	물망초	물망초	뭐랄까.. 아까의 그 잎사귀를 사용했으면 이렇게 되었을 것만 같네요..
Finish	13	14		CenterAlong	민들레	민들레	아..! 맞아 이거 좀 봐.
Finish	14	15			System	System	보스의 꽃잎
Finish	15	16			System	System	보스의 찢어진 꽃잎
Finish	16	17		LeftAlong	튤립	튤립	이건..!
Finish	17	18		RightTogether	물망초	물망초	잎사귀에서 나온 액체와 색이 같아요!
Finish	18	19		LeftTogether	민들레	민들레	맞아. 이 녀석도 원래는 착한 꽃이었을 거야.
Finish	19	20		RightTogether	물망초	물망초	.....
Finish	20	21		LeftTogether	민들레	민들레	아무거나 주워 먹으면 안 되겠지..?
Finish	21	22		RightTogether	물망초	물망초	네.......
Finish	22	23	select				다들 수고했어
Finish	23	24		CenterAlong	민들레	민들레	맞아. 모두 고생이 많았어.
Finish	24	25		LeftAlong	물망초	물망초	헤헷...
Finish	25	26		CenterAlong	민들레	민들레	여기까지 함께해줘서 고마워.
Finish	26	27		CenterAlong	민들레	민들레	저... 모두.. 이제 어떡할거야?
Finish	27	28		CenterAlong	튤립	튤립	난 나라로 돌아가려고.
Finish	28	29		CenterAlong	물망초	물망초	저는... 딱히....
Finish	29	31	select				물망초는 나와 함께 여기 있자.
Finish	30	31	select				여기 살기 좋아
Finish	31	32		CenterAlong	물망초	물망초	정말 그래도 되나요?
Finish	32	33		LeftAlong	민들레	민들레	물론이지!
Finish	33	34		RightTogether	물망초	물망초	감사합니다....
Finish	34	35	select				이제 말도 편하게 해. 괜찮으니까.
Finish	35	36		RightTogether	물망초	물망초	....네!!!
Finish	36	37		LeftTogether	민들레	민들레	하하...
Finish	37	38		CenterAlong	튤립	튤립	하하하 여전하네.
Finish	38	39		LeftTogether	민들레	민들레	그러게.
Finish	39	40		LeftTogether	민들레	민들레	..... 잘 가 튤립.
Finish	40	41		RightTogether	튤립	튤립	또 보자.
Finish	41	42		LeftTogether	민들레	민들레	당연하지! 너가 오지 않으면 내가 간다!
Finish	42	43		RightTogether	튤립	튤립	하하하
