Command	Numbering	Goto	Branch	ImagePosition	ImageType	Character	Comment
Prestart	0	1				System	Back(W1_NORMAL)
Prestart	1	2		CenterAlong	민들레_인상	민들레	어젠 숲 속 한기 때문에 잠을 잘 못잔거같아..
Prestart	2	3	select				너 늦잠잤잖아.
Prestart	3	4		CenterAlong	민들레_화남	민들레	아침이 되어서야 따듯해지니까! 잠이.. 잘.. 온거지.. 아침엔 딱 좋았어…
Prestart	4	5		CenterAlong	민들레	민들레	좀 더 자고 싶을 만큼.. 하아암…
Prestart	5	6		CenterAlong	튤립_미소	튤립	어서 가야지. 민들레.
Prestart	6	7		CenterAlong	민들레_미소	민들레	으, 응! 물론이지!
Prestart	7	8				System	Blind, Back(W1_HARD)
Prestart	8	9		CenterAlong	민들레_놀람	민들레	바닥이 딱딱해!
Prestart	9	10		CenterAlong	튤립	튤립	인간들이 살던 곳이야.
Prestart	10	11		CenterAlong	민들레_놀람	민들레	이런 딱딱한 바닥을 밟고 산다고? 발이 아프지 않을까?
Prestart	11	12		CenterAlong	튤립_미소	튤립	우리도 가끔 돌길을 지나다니잖아.
Prestart	12	13		CenterAlong	민들레_인상	민들레	그건 그렇지만..
Prestart	13	14	select				그러게 평소에 좀 돌아다니고 했어야지
Prestart	14	15		CenterAlong	민들레_화남	민들레	야! 너가 뭘 안다고 그래!
Prestart	15	16		CenterAlong	물망초	???	..마…!
Prestart	16	17		CenterAlong	민들레_놀람	민들레	응? 방금 들었어?
Prestart	17	18		CenterAlong	튤립_화남	튤립	들었어. 누구지? 어서 가보자!
Finish	0	1		CenterAlong	물망초	???	꺄악!
Finish	1	3	select				진정해!
Finish	2	3	select				구하러 왔어.
Finish	3	4		CenterAlong	물망초	???	아..
Finish	4	5		CenterAlong	물망초	???	…저, 그, 고마워요…
Finish	5	8	select				다친 곳은 없어?
Finish	6	12	select				괜찮아?
Finish	7	8	select				별 말씀을. 당연한 일인 걸.
Finish	8	9	ans	LeftTogether	민들레_놀람	민들레	어머 쟤 좀 봐! 누가보면 직접 싸운 줄 알겠어!
Finish	9	10	ans	RightTogether	튤립	튤립	많이 도와줬잖아. 너무 그러지 마.
Finish	10	11	ans	LeftTogether	민들레	민들레	흥… 그래서 얘야. 어디 다친 데는 없니?
Finish	11	12	ans	RightTogether	물망초	???	 아하하.. 네 괜찮아요. 감사합니다..
Finish	12	13	ans	RightTogether	물망초	???	감사합니다. 전 괜찮아요…
Finish	13	14		RightTogether	물망초	물망초	.. 아, 저는 물망초에요!
Finish	14	15		LeftTogether	민들레	민들레	나는 민들레, 옆에 기사님은 튤립이야. 그 옆은 내 친구.
Finish	15	16		LeftTogether	튤립_놀람	튤립	그나저나 이런곳에서 뭘 하고 있던거야? 위험하잖아.
Finish	16	17		RightTogether	물망초	물망초	약초를 구하러 가던 길에 나팔꽃같이 생긴 것들에게 둘러쌓여서.. 발이 묶였어요.
Finish	17	18		LeftTogether	민들레_놀람	민들레	약초? 누가 아파?
Finish	18	19		RightTogether	물망초	물망초	다른 사람은 아니고 제가 먹을 거에요.
Finish	19	20		LeftTogether	민들레	민들레	너가?
Finish	20	21		RightTogether	물망초	물망초	네, 제가 좀 약하고, 겁도 많고… 그 약초를 먹고나서 강해진 꽃이 있대요!
Finish	21	22		LeftTogether	민들레	민들레	으응..? 그런 전설이 있었나…? 그건 그렇고 이 주변엔 그런 풀이 자랄 수 없어보이는데…
Finish	22	23		RightTogether	물망초	물망초	여기는 아니고, 바로 앞이에요. 금지된 안개밭에 그 약초가 있을 거에요.
Finish	23	24		LeftTogether	튤립	튤립	금지된 안개밭이면 우리도 같은 방향이야.
Finish	24	25		LeftTogether	민들레_미소	민들레	따라와! 같이 가자.
Finish	25	26		RightTogether	물망초	물망초	네..! 길은 제가 잘 알아요. 안내는 맡겨주세요!
